Name, NSSDC,LaunchLoc,LaunchCountry,LaunchDate,URL
Sputnik  1,1957-001B,Tyuratam (Baikonur Cosmodrome), U.S.S.R,10/4/57,/nmc/spacecraftDisplay.do?id=1957-001B
Sputnik 1 Rocket Body,1957-001A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,10/4/57,/nmc/spacecraftDisplay.do?id=1957-001A
Sputnik  2,1957-002A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,11/3/57,/nmc/spacecraftDisplay.do?id=1957-002A
Vanguard TV3,VAGT3,Cape Canaveral, United States,12/6/57,/nmc/spacecraftDisplay.do?id=VAGT3
Explorer  1,1958-001A,Cape Canaveral, United States,2/1/58,/nmc/spacecraftDisplay.do?id=1958-001A
Vanguard TV3 Backup,VAGT3B,Cape Canaveral, United States,2/5/58,/nmc/spacecraftDisplay.do?id=VAGT3B
Explorer  2,EXPLR2,Cape Canaveral, United States,3/5/58,/nmc/spacecraftDisplay.do?id=EXPLR2
Vanguard 1,1958-002B,Cape Canaveral, United States,3/17/58,/nmc/spacecraftDisplay.do?id=1958-002B
Explorer  3,1958-003A,Cape Canaveral, United States,3/26/58,/nmc/spacecraftDisplay.do?id=1958-003A
Vanguard TV5,VAGT5,Cape Canaveral, United States,4/28/58,/nmc/spacecraftDisplay.do?id=VAGT5
Sputnik  3,1958-004B,Tyuratam (Baikonur Cosmodrome), U.S.S.R,5/15/58,/nmc/spacecraftDisplay.do?id=1958-004B
Vanguard SLV 1,VAGSL1,Cape Canaveral, United States,5/27/58,/nmc/spacecraftDisplay.do?id=VAGSL1
Vanguard SLV 2,VAGSL2,Cape Canaveral, United States,6/26/58,/nmc/spacecraftDisplay.do?id=VAGSL2
Explorer  4,1958-005A,Cape Canaveral, United States,7/26/58,/nmc/spacecraftDisplay.do?id=1958-005A
Pioneer 0,ABLE1,Cape Canaveral, United States,8/17/58,/nmc/spacecraftDisplay.do?id=ABLE1
Explorer  5,EXPLR5,Cape Canaveral, United States,8/24/58,/nmc/spacecraftDisplay.do?id=EXPLR5
Vanguard SLV 3,VAGSL3,Cape Canaveral, United States,9/26/58,/nmc/spacecraftDisplay.do?id=VAGSL3
Pioneer  1,1958-007A,Cape Canaveral, United States,10/11/58,/nmc/spacecraftDisplay.do?id=1958-007A
Beacon,BEAC1,Cape Canaveral, United States,10/23/58,/nmc/spacecraftDisplay.do?id=BEAC1
Pioneer  2,PION2,Cape Canaveral, United States,11/8/58,/nmc/spacecraftDisplay.do?id=PION2
Pioneer  3,1958-008A,Cape Canaveral, United States,12/6/58,/nmc/spacecraftDisplay.do?id=1958-008A
SCORE,1958-006A,Cape Canaveral, United States,12/18/58,/nmc/spacecraftDisplay.do?id=1958-006A
Luna  1,1959-012A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,1/2/59,/nmc/spacecraftDisplay.do?id=1959-012A
Vanguard 2,1959-001A,Cape Canaveral, United States,2/17/59,/nmc/spacecraftDisplay.do?id=1959-001A
Discoverer  1,1959-002A,Vandenberg AFB, United States,2/28/59,/nmc/spacecraftDisplay.do?id=1959-002A
